index,date_published,date_modified,source,sponsor,title
54,2020-04-06T10:01:49,2020-04-06T10:01:49,nrc,ONVZ,Leve de gezonde leefstijl
55,2020-04-06T09:46:46,2020-04-06T09:46:46,nrc,ONVZ,Word je dik van brood?
56,2020-04-06T09:25:34,2020-04-06T09:25:34,nrc,ONVZ,De rol van vet
57,2019-12-06T16:30:27,2019-12-06T16:30:27,nrc,ONVZ,Een algoritme geeft voedingsadvies
58,2019-12-06T16:28:34,2019-12-06T16:28:34,nrc,ONVZ,De impact van geluid
59,2019-12-06T16:16:33,2019-12-06T16:16:33,nrc,ONVZ,Rimpels en krimpende botten
60,2019-12-06T16:00:13,2019-12-06T16:00:13,nrc,ONVZ,Eenzaam of te weinig alleen
61,2019-09-19T22:35:15,2019-09-19T22:35:15,nrc,ONVZ,Sportvoeding: junkfood of noodzaak?
62,2019-09-19T22:30:23,2019-09-19T22:30:23,nrc,ONVZ,Een hart zo groot als een speldenknop
63,2019-09-19T22:30:06,2019-09-19T22:30:06,nrc,ONVZ,Een kijkje in het puberbrein
64,2019-09-19T22:20:17,2019-09-19T22:20:17,nrc,ONVZ,Geneest gember?
65,2019-09-19T22:10:12,2019-09-19T22:10:12,nrc,ONVZ,Zin in geluk
66,2019-09-19T22:01:10,2019-09-19T22:01:10,nrc,ONVZ,Wees wijs met voedsel
67,2019-06-14T22:15:57,2019-06-14T22:15:57,nrc,ONVZ,Zeewier als duurzame (voedsel)bron
68,2019-06-14T22:15:38,2019-06-14T22:15:38,nrc,ONVZ,Hou van je hart
69,2019-06-14T22:15:06,2019-06-14T22:15:06,nrc,ONVZ,Waarom lijkt het gras bij de buren groener?
70,2020-12-15T15:51:59,2020-12-15T15:51:59,nrc,TNO,De effecten van microplastics vragen om een wereld aan onderzoek
71,2020-12-15T15:51:51,2020-12-15T15:51:51,nrc,TNO,De waardeketen moet helemaal aan elkaar geknoopt worden
72,2020-12-01T08:02:15,2020-12-01T08:02:15,nrc,TNO,Dat verpakkingen uit meerdere lagen bestaan kun je als consument niet zien
73,2020-12-01T08:01:54,2020-12-01T08:01:54,nrc,TNO,Een slim ontwerp geeft waardevolle grondstoffen terug
74,2019-04-26T22:01:28,2019-04-26T22:01:28,nrc,TNO,Grote winstkansen met gebruik industriele restwarmte
75,2019-04-12T22:01:11,2019-04-12T22:01:11,nrc,TNO,We moeten naar negatieve CO2-emissie
76,2019-03-29T23:01:45,2019-03-29T23:01:45,nrc,TNO,CO2-reductie: industrie moet efficienter werken
77,2019-03-15T23:01:30,2019-03-15T23:01:30,nrc,TNO,Versnellen energietransitie noodzaak en kans voor industrie
78,2018-12-12T13:15:28,2018-12-12T13:15:28,nrc,TNO,Nederland dreigt achterop te raken met  AI
79,2018-12-03T10:22:33,2018-12-03T10:22:33,nrc,TNO,Hoe Big Data kan leiden tot betere gezondheidszorg
80,2018-11-28T09:21:21,2018-11-28T09:21:21,nrc,TNO,Lastige ethische en legale vragen bij kunstmatige intelligentie
81,2020-12-18T13:00:53,2020-12-18T13:00:53,nrc,Roche,De hele zorgketen begint bij een goed gesprek
82,2020-12-18T13:00:49,2020-12-18T13:00:49,nrc,Roche,Uitgestelde zorg betekent minder grip op eigen regie
83,2020-12-18T13:00:48,2020-12-18T13:00:48,nrc,Roche,Een leven lang regie houden is belangrijk
84,2020-12-18T13:00:32,2020-12-18T13:00:32,nrc,Roche,e-Health helpt zorgverleners en patient
85,2020-12-18T13:00:28,2020-12-18T13:00:28,nrc,Roche,Het belang van de patient verbindt ons
86,2020-12-18T13:00:21,2020-12-18T13:00:21,nrc,Roche,Een doorbraak  is mogelijk
87,2020-12-18T13:00:14,2020-12-18T13:00:14,nrc,Roche,Dit kan het leven van de patient dragelijker maken
88,2020-09-25T13:00:43,2020-09-25T13:00:43,nrc,Roche,Samen voor een gezonde toekomst
89,2020-09-25T13:00:42,2020-09-25T13:00:42,nrc,Roche,Ik ervaar het als heel prettig en vertrouwd
90,2020-09-25T13:00:40,2020-09-25T13:00:40,nrc,Roche,Samen werken aan een betrouwbare coronatest
91,2020-09-25T13:00:25,2020-09-25T13:00:25,nrc,Roche,Bedrijfsleven en zorgpartijen moeten nauw samenwerken
92,2020-09-25T13:00:25,2020-09-25T13:00:25,nrc,Roche,Toplaboratorium werkt t liefst  in stilte
93,2020-09-25T13:00:24,2020-09-25T13:00:24,nrc,Roche,Samenwerking:  slaap- of pepmiddel?
94,2020-09-25T13:00:14,2020-09-25T13:00:14,nrc,Roche,Big data verbindt artsen en farmacie
95,2020-06-19T13:00:57,2020-06-19T13:00:57,nrc,Roche,Crises jagen innovatie aan
96,2020-06-19T13:00:42,2020-06-19T13:00:42,nrc,Roche,Zorgdata zijn cruciaal bij de aanpak van corona
97,2020-06-19T13:00:37,2020-06-19T13:00:37,nrc,Roche,De juiste mensen samenbrengen tegen kanker
98,2020-06-19T13:00:26,2020-06-19T13:00:26,nrc,Roche,Vertrouwen op creativiteit
99,2020-06-19T13:00:21,2020-06-19T13:00:21,nrc,Roche,Zo kan elke patient de aandacht en expertise ontvangen die nodig zijn
100,2020-06-19T13:00:19,2020-06-19T13:00:19,nrc,Roche,AMR:  de onstuitbare sluipmoordenaar
101,2020-03-27T23:00:52,2020-03-27T23:00:52,nrc,Roche,Big data: katalysator van betere zorg
102,2020-03-27T23:00:39,2020-03-27T23:00:39,nrc,Roche,Een farmacogenetisch paspoort is voor vrijwel iedereen gunstig
103,2020-03-27T23:00:28,2020-03-27T23:00:28,nrc,Roche,Samen doorpakken kan leiden tot een forse ziektelastdaling
104,2020-03-27T23:00:07,2020-03-27T23:00:07,nrc,Roche,Ik was liever direct met de juiste medicatie gestart
105,2020-03-27T23:00:05,2020-03-27T23:00:05,nrc,Roche,Kunstmatige intelligentie: de buddy van de specialist
106,2020-03-27T23:00:00,2020-03-27T23:00:00,nrc,Roche,De uitdaging: technologie persoonlijk maken
107,2019-11-22T08:30:35,2019-11-22T08:30:35,nrc,Roche,Ik ben alweer vier jaar pillenvrij
108,2019-11-22T08:21:14,2019-11-22T08:21:14,nrc,Roche,De vele gezichten van preventie
109,2019-11-22T08:15:15,2019-11-22T08:15:15,nrc,Roche,Ik had het gevoel zelf bij te dragen aan mijn herstel
110,2020-09-17T07:34:39,2020-09-17T07:34:39,nrc,Shell,Snelladen bij Shell: Bij ons kun je ook jezelf opladen
111,2019-12-20T14:15:55,2019-12-20T14:15:55,nrc,Shell,Podcast: Bos dat we nu aanplanten moet driehonderd jaar mee kunnen
