index,date_published,date_modified,source,sponsor,title
52,2020-03-03T21:31:23,2020-03-03T21:31:23,nrc,none,We zijn vooral bezig met geruststellen
53,2020-12-15T21:43:32,2020-12-15T21:43:32,nrc,none,HEMA is ineens essentieel of niet?
54,2020-07-01T20:38:36,2020-07-01T20:38:36,nrc,none,OVV gaat onderzoek doen naar beveiligingslek Citrix
55,2020-02-05T21:00:08,2020-02-05T21:00:08,nrc,none,Groen willen beleggen en toch passief de mist in gaan
56,2020-11-01T21:45:36,2020-11-01T21:45:36,nrc,none,NAVO is in rapport weer kritisch  over achterblijvend defensiebudget
57,2020-08-13T21:28:22,2020-08-13T21:28:22,nrc,none,Leipzig ten koste van Atletico Madrid naar halve finales CL
58,2020-02-18T21:24:58,2020-02-18T21:24:58,nrc,none,Het dorp kom je  wel uit maar misschien niet meer in
59,2020-11-10T21:30:01,2020-11-10T21:30:01,nrc,none,Urgenda eist snel extra klimaatbeleid
60,2020-10-10T20:21:15,2020-10-10T20:21:15,nrc,none,Nog eens vier veiligheidsregios naar risiconiveau ernstig
61,2020-05-25T20:13:12,2020-05-25T20:13:12,nrc,none,Met zo weinig boetes schrikt de privacywaakhond nog niet echt af
62,2020-11-07T22:43:10,2020-11-07T22:43:10,nrc,none,Teruggekeerd in Witte Huis wil Trump nog niet opgeven
63,2020-11-11T21:47:10,2020-11-11T21:47:10,nrc,none,Oranje verzuimt Spanje pijn te doen in de Arena
64,2020-09-28T20:30:12,2020-09-28T20:30:12,nrc,none,Storm rond failliet Imtech gaat nog lang niet liggen
65,2020-06-28T18:21:26,2020-06-28T18:21:26,nrc,none,In Den Haag meer politie dan demonstranten 
66,2020-05-17T18:56:21,2020-05-17T18:56:21,nrc,none,Activist Hongkong: Waarom zou ik bang zijn? Ik kan  in de cel alleen maar  sterven
67,2020-03-02T20:12:43,2020-03-02T20:12:43,nrc,none,Neutron Jack Welch was de vader  van de aandeelhouderswaarde
68,2020-12-23T21:18:33,2020-12-23T21:18:33,nrc,none,Politieke tactiek achter Trumps amnestieen 
69,2020-09-25T20:01:22,2020-09-25T20:01:22,nrc,none,22 doden bij crash militair vliegtuig in Oost-Oekraine
70,2020-05-18T20:23:24,2020-05-18T20:23:24,nrc,none,Ex-wielrenner Armstrong: Ik was 21 toen ik voor het eerst doping gebruikte
71,2020-04-07T19:59:23,2020-04-07T19:59:23,nrc,none,KNVB en clubs moeten wel solidair zijn met de Europese voetbalfamilie
72,2020-05-16T16:45:03,2020-05-16T16:45:03,nrc,none,Hygienisch correct juichen bij terugkeer in de Duitse  stadions
73,2020-09-09T20:30:16,2020-09-09T20:30:16,nrc,none,Het publiek heeft de weg terug de zalen in nog niet helemaal gevonden
74,2020-10-27T21:32:27,2020-10-27T21:32:27,nrc,none,Weer een ruzie met Turkije
75,2020-12-09T21:41:17,2020-12-09T21:41:17,nrc,none,Registreer wie welk vaccin krijgt zeggen de apothekers
76,2020-02-07T21:46:26,2020-02-07T21:46:26,nrc,none,Voor het eerst in jaren mag weer gejaagd worden op olifanten in Botswana
77,2020-09-16T20:19:25,2020-09-16T20:19:25,nrc,none,Ouwehand: tijd voor fundamentele keuzes
78,2020-03-09T21:18:51,2020-03-09T21:18:51,nrc,none,Het personeel werkt gewoon door tussen de coronapatienten  
79,2020-12-11T20:04:19,2020-12-11T20:04:19,nrc,none,Klaar met het kapitalisme: zij strijden voor een socialistische staat
80,2020-01-15T21:35:21,2020-01-15T21:35:21,nrc,none,Mediatoezichthouder overtreedt aanbestedingsregels
81,2020-11-14T21:35:56,2020-11-14T21:35:56,nrc,none,Met de Sint online verandert ook het actievoeren 
82,2020-07-06T19:51:35,2020-07-06T19:51:35,nrc,none,Jongen (17) aangehouden voor poging tot doodslag bij protest Eindhoven Airport
83,2020-08-28T17:56:08,2020-08-28T17:56:08,nrc,none,De schaduwkant van Lionel Messi
84,2020-12-23T20:45:29,2020-12-23T20:45:29,nrc,none,Als Ton van Veen het niet wil doet de familie Van Eerd het niet
85,2020-07-05T19:42:16,2020-07-05T19:42:16,nrc,none,Huisvesting van arbeidsmigranten is niet sexy
86,2020-10-21T20:02:50,2020-10-21T20:02:50,nrc,none,De streekbus komt volgend jaar minder vaak langs
87,2020-12-21T20:29:35,2020-12-21T20:29:35,nrc,none,Beleggers schrikken van nieuws over gemuteerd virus
88,2020-10-01T19:50:05,2020-10-01T19:50:05,nrc,none,Rechter zet streep door zorgbezuiniging van honderden miljoenen
89,2020-02-02T22:26:49,2020-02-02T22:26:49,nrc,none,Fans eisen #JusticeForJohnnyDepp na geluidstape met ex-vrouw
90,2020-12-24T19:40:31,2020-12-24T19:40:31,nrc,none,Serious Request haalt 16 miljoen euro op voor Rode Kruis
91,2020-08-06T20:45:30,2020-08-06T20:45:30,nrc,none,Voor een jonge arts is het ziekenhuis niet altijd een veilige plek
92,2020-09-14T20:46:39,2020-09-14T20:46:39,nrc,none,Pandemie verdiept sociale kloof in flexland Nederland
93,2020-12-13T21:44:12,2020-12-13T21:44:12,nrc,none,Het migratiebeleid is verouderd zegt de WRR: Nederland is immigratieland
94,2020-07-07T20:31:38,2020-07-07T20:31:38,nrc,none,Kabinet past noodwet ingrijpend aan na forse kritiek corona-app geschrapt
95,2020-05-05T20:31:32,2020-05-05T20:31:32,nrc,none,Zorgpersoneel overbelast? Deze Syrische vluchtelingen willen wel helpen
96,2020-06-19T19:25:02,2020-06-19T19:25:02,nrc,none,Het gaat goed met R en de antilichamen
97,2020-03-08T21:36:39,2020-03-08T21:36:39,nrc,none,Monsterproces  moet waarheid over MH17 blootleggen
98,2020-07-21T19:33:37,2020-07-21T19:33:37,nrc,none,Gegijzelde buspassagiers Loetsk allen vrij dader gearresteerd
99,2020-01-17T20:00:13,2020-01-17T20:00:13,nrc,none,Na elke werkdag hadden de fabrieksarbeiders hoofdpijn en groen haar
100,2020-09-26T20:31:44,2020-09-26T20:31:44,nrc,none,Mexico geeft reeks arrestatiebevelen uit in zaak verdwenen studenten
