catagory,word,score
editorial,holland,-0.4832361006453496
editorial,afspraken,-0.48172849142170526
editorial,positie,-0.4807774452064306
editorial,persconferentie,-0.48008224321486914
editorial,amsterdam,-0.4799254191047901
editorial,king,-0.47642715881406555
editorial,problemen,-0.4763407950619574
editorial,mailinschrijven,-0.4744799945942424
editorial,ondernemersverhalen,-0.4744799945942424
editorial,wijst,-0.47412341661101537
editorial,financiën,-0.4738999509473669
editorial,club,-0.4738154003648743
editorial,persbericht,-0.47277126418559406
editorial,oudere,-0.4721369896965808
editorial,richard,-0.4720002206707665
editorial,boogschutter,-0.46989935758534834
editorial,daghoroscoop,-0.46989935758534834
editorial,kreeft,-0.46989935758534834
editorial,schorpioen,-0.46989935758534834
editorial,steenbok,-0.46989935758534834
editorial,sterrenbeeld,-0.46989935758534834
editorial,stier,-0.46989935758534834
editorial,waterman,-0.46989935758534834
editorial,stenen,-0.4690346446088553
editorial,telegraaf,-0.46829290594664663
editorial,bevestigt,-0.46805419116910735
editorial,updates,-0.46749207170663204
editorial,jan,-0.46732250895307936
editorial,publiciteit,-0.46719936237544163
editorial,trump,-0.46685134075885143
editorial,koninklijke,-0.4647435061643042
editorial,meld,-0.46461527132610725
editorial,ve,-0.4641485478990162
editorial,ram,-0.46225253941747907
editorial,bal,-0.46163589018549406
editorial,investeerders,-0.46079606507437637
editorial,won,-0.46029781411987136
editorial,kwam,-0.4599369780721234
editorial,chinese,-0.45941634513854374
editorial,trainer,-0.4581353846285439
editorial,sommigen,-0.45790820212689676
editorial,open,-0.4574053977582535
editorial,toegestaan,-0.4569010569701047
editorial,persoonsgegevens,-0.45652137845412505
editorial,vakantie,-0.45592111179804656
editorial,genomen,-0.4556037189620802
editorial,verkeer,-0.4530671347154249
editorial,bovenaan,-0.4522223630050847
editorial,begint,-0.45198897772731894
editorial,brief,-0.4519523384754993
editorial,gewond,-0.4508762344706968
editorial,verkoopt,-0.4505993142202084
editorial,weken,-0.4490782194656496
editorial,bonus,-0.44753795746064146
editorial,liet,-0.44705658891838157
editorial,doorheen,-0.44494287283439754
editorial,ter,-0.4437651369214254
editorial,economie,-0.4434702313834424
editorial,voorgaande,-0.442088449427448
editorial,economische,-0.44202608202668525
editorial,zuiden,-0.43881593181796763
editorial,jumbo,-0.4385193444243959
editorial,twitter,-0.43802904958189626
editorial,george,-0.43776168779567526
editorial,droeg,-0.4370510848308597
editorial,werkweek,-0.4365664045273256
editorial,tekrar,-0.4363557113131841
editorial,graaf,-0.4358635343066057
editorial,demonstranten,-0.43554092086104107
editorial,vacatures,-0.4352813771021935
editorial,onderwijs,-0.43485412075010244
editorial,schep,-0.43380947367541134
editorial,spanje,-0.43330994066770046
editorial,willem,-0.4322037161813786
editorial,gepland,-0.43173073444270876
editorial,fc,-0.43084299855102554
editorial,italiaanse,-0.4304334356509256
editorial,fiets,-0.42979003702129664
editorial,algemene,-0.42967618927261547
editorial,politiek,-0.429175317621693
editorial,gegeven,-0.4289854480983123
editorial,tweelingen,-0.4285802876285875
editorial,aanbieding,-0.42831137538768876
editorial,doelpunten,-0.4282063822997647
editorial,noord,-0.4278679115953424
editorial,carrière,-0.4276786173040743
editorial,debat,-0.42654137982776047
editorial,jury,-0.4261785768054263
editorial,liveblog,-0.4261660048256485
editorial,horeca,-0.4256603951496785
editorial,koopmans,-0.4249969636671664
editorial,getuigen,-0.42448174477875217
editorial,durf,-0.42385158160479486
editorial,dinsdag,-0.42324973135269456
editorial,gedaan,-0.4220144734517033
editorial,voorstelling,-0.4217441822672376
editorial,privacy,-0.4201281743901343
editorial,voetballer,-0.4184633511948988
editorial,uzelf,-0.41844252431408746
editorial,incident,-0.41783976835430503
editorial,nummer,-0.41779609650543287
editorial,herinneringen,-0.41758896026771997
editorial,madrid,-0.41722845412801685
editorial,fox,-0.41651101402720603
editorial,marco,-0.4165087654356487
editorial,voorwaarden,-0.4154711265534067
editorial,fouten,-0.41523035569814326
editorial,wouter,-0.4150367077190918
editorial,bedoeld,-0.41283415563041775
editorial,besmet,-0.4128115458309258
editorial,pk,-0.41232127563936305
editorial,jammer,-0.41169085533002253
editorial,voorzitter,-0.41127975189512656
editorial,koning,-0.4110414964497627
editorial,gebracht,-0.4107735627971761
editorial,xtc,-0.4104000748689566
editorial,akkoord,-0.41002366278776003
editorial,bedacht,-0.40944289879087725
editorial,oven,-0.4092823301790382
editorial,contract,-0.40584116820749316
editorial,beslag,-0.40578505762793354
editorial,meghan,-0.40563184994681434
editorial,nederlaag,-0.40490836950152537
editorial,gestegen,-0.4048778871025842
editorial,wachtwoorden,-0.40448472771125005
editorial,universiteit,-0.40440627995343537
editorial,detailhandel,-0.40351537390199127
editorial,emoji,-0.40307866560870353
editorial,aniossen,-0.4004500216270522
editorial,beeld,-0.40003706907993225
editorial,bayern,-0.39914474640658887
editorial,groep,-0.39886413941522053
editorial,leg,-0.39877903648795
editorial,criminelen,-0.3983966429724895
editorial,leiden,-0.39817204487065516
editorial,pakt,-0.395557558060692
editorial,virus,-0.3950356194601354
editorial,schreef,-0.39467740344117525
editorial,werkzaamheden,-0.3945501083662911
editorial,vanmoof,-0.39399403674350697
editorial,tegenstanders,-0.39348027273771463
editorial,sectoren,-0.39037528995616644
editorial,dingen,-0.38995646594562894
editorial,ups,-0.3895728151691047
editorial,cda,-0.38945576117024694
editorial,reclame,-0.3894554989411708
editorial,uitbraak,-0.3884106459894617
editorial,italië,-0.3879860676580592
editorial,dader,-0.3879482692401292
editorial,overleven,-0.387758216441557
editorial,joost,-0.38719935625627
editorial,rome,-0.3869337568594769
editorial,richtte,-0.3866106796375123
editorial,vakantiedagen,-0.38619716744576915
editorial,beginnen,-0.3857052413677939
editorial,migranten,-0.38342442412475536
editorial,informatieve,-0.3833372839243284
editorial,gebeuren,-0.3827642748361789
editorial,elftal,-0.38265026384078066
editorial,toezichthouder,-0.38257067466603395
editorial,ingevoerd,-0.38236318254696283
editorial,vlucht,-0.3822750643004006
editorial,bekendgemaakt,-0.3815438675168364
editorial,bereiken,-0.3814328608767556
editorial,zege,-0.37931094643324353
editorial,voetbal,-0.3792683810465442
editorial,perfect,-0.3788511810885311
editorial,dwingen,-0.37870383350305203
editorial,aangetroffen,-0.3779614895964304
editorial,hotel,-0.3778642778188515
editorial,steun,-0.37676510114025313
editorial,engels,-0.37648827818470004
editorial,geloof,-0.37579225314578807
editorial,zien,-0.37444463226611874
editorial,hoogste,-0.3743320510340803
editorial,cao,-0.37382189983204595
editorial,veiligheidsregio,-0.3737879455927004
editorial,jarenlang,-0.37291040463433095
editorial,bracht,-0.37252220477953873
editorial,lagen,-0.3724949566029983
editorial,onvoldoende,-0.37213831499024075
editorial,leiding,-0.3719264676800134
editorial,mbo,-0.3718257177481962
editorial,dekker,-0.37052146792195123
editorial,zondag,-0.3699345953638275
editorial,ermee,-0.36986150033288606
editorial,leidinggevende,-0.3686931072399601
editorial,beoordeling,-0.36855575612351094
editorial,yara,-0.36841211873717106
editorial,actrice,-0.3673163067412084
editorial,trekken,-0.36675624787304595
editorial,telkens,-0.36640657283657535
editorial,ochtend,-0.3659390926114098
editorial,app,-0.36573937698129655
editorial,snappen,-0.3653070870504914
editorial,uitstraling,-0.36479916197779344
editorial,tijdelijke,-0.3647452734799295
editorial,frits,-0.364615695776483
editorial,podcast,-0.3633169209152464
editorial,aanbiedingen,-0.36320176796581743
editorial,deadline,-0.36290536942156376
editorial,facturen,-0.362466051572284
editorial,aangepast,-0.36200820520604104
editorial,weegschaal,-0.3617046193932217
editorial,registreren,-0.3613769722403205
editorial,gezien,-0.3606681556269381
editorial,liep,-0.36056819570968235
editorial,tijdelijk,-0.36046745779225564
editorial,kreeg,-0.360124472362447
editorial,witte,-0.3600321708106977
editorial,jongen,-0.3591268221672557
editorial,cbs,-0.3588353431154346
editorial,loon,-0.3587645664308709
editorial,show,-0.3587077146096399
editorial,richt,-0.3583812377283197
editorial,heet,-0.3578281244355737
editorial,arena,-0.35662264792176834
editorial,wit,-0.35602142456180524
editorial,overname,-0.35564242628300147
editorial,netflix,-0.35374603531582965
editorial,begrijpen,-0.35351339371952584
editorial,makelaars,-0.3534954498740129
editorial,verjaardag,-0.3525715522311348
editorial,jong,-0.35245033062102143
editorial,wijnen,-0.352331879780516
editorial,tata,-0.35231475760755454
editorial,rechtbank,-0.35208717795510164
editorial,doorgaan,-0.350664129999112
editorial,controleren,-0.3505953390812279
editorial,woonkamer,-0.34903431627401643
editorial,verwachting,-0.34898841986903734
editorial,druk,-0.3485705822847487
editorial,us,-0.34856595041773525
editorial,ineens,-0.3485285805559338
editorial,rust,-0.3483756056936364
editorial,half,-0.3483329723130321
editorial,voorstel,-0.3483099301791913
editorial,staat,-0.3481329987179639
editorial,uitkomt,-0.3478059534820668
editorial,uitvoering,-0.34707823873871724
editorial,sp,-0.3466154086674129
editorial,krimp,-0.34612576390675004
editorial,ms,-0.34552594244566304
editorial,god,-0.34544093609492965
editorial,toestemming,-0.34456124232484714
editorial,eigenaren,-0.3443282966858324
editorial,zon,-0.344128123212437
editorial,wim,-0.34409190460140854
editorial,terugkeer,-0.34377964388813614
editorial,temperaturen,-0.343736343341753
editorial,dirk,-0.3423342781262759
editorial,ongeluk,-0.342039654284882
editorial,trek,-0.341598919255832
editorial,fout,-0.3412894630812425
editorial,giro,-0.34100905886916716
editorial,aangesloten,-0.3404003479626485
editorial,dubai,-0.3400701048671585
editorial,klanten,-0.3392261369879436
editorial,lief,-0.33917650564534296
editorial,video,-0.3386202626729556
editorial,coolblue,-0.3385482118996414
editorial,goedkoop,-0.3380393940762389
editorial,franse,-0.3375563761810969
editorial,besloten,-0.33751688781186406
editorial,arbeidsmarkt,-0.33718611006515087
editorial,bezoeker,-0.33621883656294127
editorial,beschermingsmiddelen,-0.3361392980183612
editorial,halverwege,-0.33569221218349704
editorial,achttien,-0.3354600974875676
editorial,kort,-0.3352229983395213
editorial,onbekend,-0.33511744792964976
editorial,advocaat,-0.3350038680451409
editorial,opgepakt,-0.33492932853182206
editorial,onduidelijk,-0.3342943198465182
editorial,rotterdamse,-0.3341909337943177
editorial,minuut,-0.3329703337216497
editorial,deel,-0.3328106410299602
editorial,gullit,-0.3325181492630148
editorial,positief,-0.3324923893549248
editorial,training,-0.3324358706843091
editorial,inschrijven,-0.33234865152401627
editorial,gevolgd,-0.3319536276340609
editorial,verkoper,-0.3315190803884781
editorial,persbureau,-0.33144672412978293
editorial,zwaar,-0.3314150520757941
editorial,onderdeel,-0.3303902225972473
editorial,tarief,-0.3295243840042681
editorial,experiment,-0.3294669996827902
editorial,and,-0.3292597016297984
editorial,crm,-0.329239120780253
editorial,bevestigen,-0.3290539762256186
editorial,gezelschap,-0.3290322372056654
editorial,omroep,-0.3286948173887309
editorial,münchen,-0.3283815729411791
editorial,nederlandse,-0.32796457209682284
editorial,goudsblom,-0.32792934353372183
editorial,aanpak,-0.32767863395694746
editorial,verricht,-0.3273175157079132
editorial,officieel,-0.32641146971564533
editorial,staten,-0.3262027484923051
editorial,helder,-0.3257607258293275
editorial,voeren,-0.32572741585205767
editorial,reageren,-0.3249455704942286
editorial,geef,-0.3246349680637769
editorial,diagnose,-0.3245690105843398
editorial,plaatsen,-0.3242858713399887
editorial,dicht,-0.32421284641872317
editorial,donderdagavond,-0.3229088593392278
editorial,onderhandelingen,-0.32290302507746127
editorial,ontvangen,-0.3222784547274303
editorial,angela,-0.3221344344366658
editorial,taco,-0.3216496690763754
editorial,procent,-0.3211996012985736
editorial,gaf,-0.32114546125730536
editorial,macht,-0.3207078828488399
editorial,gele,-0.3204068718131141
editorial,little,-0.3196902245520295
editorial,inzittenden,-0.31945736469079417
editorial,fors,-0.31915831078204504
editorial,nachts,-0.31849535205805934
editorial,verandering,-0.31793900978388956
editorial,onderaan,-0.3171011729949389
editorial,steunen,-0.31697690205387347
editorial,artiesten,-0.31674810019744915
editorial,statistiek,-0.31656610314785094
editorial,been,-0.3159493734875853
editorial,illegale,-0.3159304288400842
editorial,januari,-0.3156114256148047
editorial,duren,-0.31549545722557265
editorial,verbod,-0.31499117357213346
editorial,evenementen,-0.3144433720601013
editorial,fnv,-0.31392747232553037
editorial,vluchten,-0.3138680259432121
editorial,richting,-0.31379914460506236
editorial,gamen,-0.31330926046086544
editorial,roglic,-0.31300922072012377
editorial,rijn,-0.31285060056384245
editorial,hongkong,-0.3127683715656149
editorial,koorts,-0.3127161000789938
editorial,brabant,-0.31268595964478335
editorial,meerdere,-0.31221096012606336
editorial,zelfstandigen,-0.31219666306401084
editorial,afstand,-0.311829275270559
editorial,concurrent,-0.3117925351851384
editorial,congres,-0.3116493626046136
editorial,bestuur,-0.31069258959850293
editorial,bewustzijn,-0.3104743749175835
editorial,handel,-0.3104459414504525
editorial,simonis,-0.31018044925324445
editorial,afkomstig,-0.31003547567866335
editorial,oproep,-0.30973305687872216
editorial,documenten,-0.30857721126669607
editorial,plannen,-0.3085441636107245
editorial,knvb,-0.30826296768764466
editorial,meldde,-0.30800558318544824
